Loading Matrix-market coordinate-formatted graph ...
Reading from ../../../maps/gh009.mtx:
  Parsing MARKET COO format (16777216 nodes, 265114400 directed edges)... Done parsing (46s).
  Converting 16777216 vertices, 265114400 directed edges (unordered tuples) to CSR format...
Done converting (6s).

Degree Histogram (16777216 vertices, 265114400 edges):
    Degree   0: 1 (0.00%)
    Degree 2^0: 54 (0.00%)
    Degree 2^1: 2064 (0.01%)
    Degree 2^2: 190846 (1.14%)
    Degree 2^3: 7967474 (47.49%)
    Degree 2^4: 8612951 (51.34%)
    Degree 2^5: 3826 (0.02%)

Using 1 GPU: [ 0 ].
Using traversal mode LB
__________________________
0	 1418	 0	 queue3 	 oversize :	 31227094 ->	 31255015
0	 1419	 0	 queue3 	 oversize :	 31255015 ->	 31313660
0	 1421	 0	 queue3 	 oversize :	 31313660 ->	 31328148
0	 1422	 0	 queue3 	 oversize :	 31328148 ->	 31369659
0	 1423	 0	 queue3 	 oversize :	 31369659 ->	 31382050
0	 1424	 0	 queue3 	 oversize :	 31382050 ->	 31479292
0	 1425	 0	 queue3 	 oversize :	 31479292 ->	 31484153
0	 1426	 0	 queue3 	 oversize :	 31484153 ->	 31511508
0	 1427	 0	 queue3 	 oversize :	 31511508 ->	 31564390
0	 1428	 0	 queue3 	 oversize :	 31564390 ->	 31637507
0	 1429	 0	 queue3 	 oversize :	 31637507 ->	 31644054
0	 1430	 0	 queue3 	 oversize :	 31644054 ->	 31644992
0	 1431	 0	 queue3 	 oversize :	 31644992 ->	 31676217
0	 1432	 0	 queue3 	 oversize :	 31676217 ->	 31706078
0	 1433	 0	 queue3 	 oversize :	 31706078 ->	 31777591
0	 1434	 0	 queue3 	 oversize :	 31777591 ->	 31816551
0	 1435	 0	 queue3 	 oversize :	 31816551 ->	 31895725
0	 1436	 0	 queue3 	 oversize :	 31895725 ->	 31895742
0	 1437	 0	 queue3 	 oversize :	 31895742 ->	 31940197
0	 1438	 0	 queue3 	 oversize :	 31940197 ->	 31999728
0	 1439	 0	 queue3 	 oversize :	 31999728 ->	 32026271
0	 1440	 0	 queue3 	 oversize :	 32026271 ->	 32057346
0	 1441	 0	 queue3 	 oversize :	 32057346 ->	 32087784
0	 1442	 0	 queue3 	 oversize :	 32087784 ->	 32099817
0	 1443	 0	 queue3 	 oversize :	 32099817 ->	 32147326
0	 1445	 0	 queue3 	 oversize :	 32147326 ->	 32207444
